Device: cuda
Epochs: 1  train_loss: 38.18  val_loss: 33.2  ShiftErr: 84.89999999999999 %  swAErr: 99.67 %  swBErr: 81.61 %
Epochs: 67  train_loss: 5.94  val_loss: 4.6  ShiftErr: 21.39 %  swAErr: 51.470000000000006 %  swBErr: 48.08 %

Epochs: 68  train_loss: 6.67  val_loss: 4.53  ShiftErr: 21.48 %  swAErr: 51.17 %  swBErr: 47.839999999999996 %

Epochs: 69  train_loss: 6.35  val_loss: 4.47  ShiftErr: 21.41 %  swAErr: 49.7 %  swBErr: 46.94 %

Epochs: 70  train_loss: 4.61  val_loss: 4.63  ShiftErr: 21.37 %  swAErr: 51.690000000000005 %  swBErr: 48.65 %

Epochs: 71  train_loss: 6.1  val_loss: 4.68  ShiftErr: 21.529999999999998 %  swAErr: 52.61 %  swBErr: 48.980000000000004 %

Epochs: 72  train_loss: 5.37  val_loss: 4.55  ShiftErr: 21.39 %  swAErr: 52.0 %  swBErr: 48.36 %

Epochs: 73  train_loss: 5.74  val_loss: 4.54  ShiftErr: 21.44 %  swAErr: 51.64 %  swBErr: 48.1 %

Epochs: 74  train_loss: 5.34  val_loss: 4.59  ShiftErr: 21.560000000000002 %  swAErr: 51.480000000000004 %  swBErr: 47.79 %

Epochs: 75  train_loss: 5.43  val_loss: 4.62  ShiftErr: 21.73 %  swAErr: 51.71 %  swBErr: 47.65 %

Epochs: 76  train_loss: 6.19  val_loss: 4.57  ShiftErr: 21.68 %  swAErr: 51.24999999999999 %  swBErr: 47.12 %

Epochs: 77  train_loss: 5.2  val_loss: 4.64  ShiftErr: 21.57 %  swAErr: 52.839999999999996 %  swBErr: 49.33 %

Epochs: 78  train_loss: 6.41  val_loss: 4.63  ShiftErr: 21.64 %  swAErr: 51.74999999999999 %  swBErr: 48.46 %

Epochs: 79  train_loss: 6.76  val_loss: 4.57  ShiftErr: 21.42 %  swAErr: 50.96000000000001 %  swBErr: 47.910000000000004 %

Epochs: 80  train_loss: 5.12  val_loss: 4.53  ShiftErr: 21.36 %  swAErr: 50.92 %  swBErr: 47.89 %

Epochs: 81  train_loss: 5.73  val_loss: 4.53  ShiftErr: 21.43 %  swAErr: 50.339999999999996 %  swBErr: 47.25 %

Epochs: 82  train_loss: 6.1  val_loss: 4.55  ShiftErr: 21.529999999999998 %  swAErr: 50.71 %  swBErr: 47.69 %

Epochs: 83  train_loss: 6.62  val_loss: 4.59  ShiftErr: 21.54 %  swAErr: 51.690000000000005 %  swBErr: 48.63 %

Epochs: 84  train_loss: 5.69  val_loss: 4.61  ShiftErr: 21.52 %  swAErr: 52.35999999999999 %  swBErr: 48.85 %

Epochs: 85  train_loss: 5.67  val_loss: 4.66  ShiftErr: 21.68 %  swAErr: 52.44 %  swBErr: 48.870000000000005 %

Epochs: 86  train_loss: 5.02  val_loss: 4.58  ShiftErr: 21.490000000000002 %  swAErr: 51.449999999999996 %  swBErr: 47.56 %

Epochs: 87  train_loss: 6.16  val_loss: 4.63  ShiftErr: 21.7 %  swAErr: 51.68000000000001 %  swBErr: 47.53 %

Epochs: 88  train_loss: 5.85  val_loss: 4.67  ShiftErr: 21.7 %  swAErr: 52.23 %  swBErr: 48.53 %

Epochs: 89  train_loss: 5.77  val_loss: 4.59  ShiftErr: 21.52 %  swAErr: 51.2 %  swBErr: 48.05 %

Epochs: 90  train_loss: 5.56  val_loss: 4.53  ShiftErr: 21.64 %  swAErr: 50.27 %  swBErr: 47.24 %

Epochs: 91  train_loss: 6.36  val_loss: 4.74  ShiftErr: 21.95 %  swAErr: 53.1 %  swBErr: 49.29 %

Epochs: 92  train_loss: 5.87  val_loss: 4.78  ShiftErr: 22.07 %  swAErr: 54.06999999999999 %  swBErr: 49.96 %

Epochs: 93  train_loss: 5.82  val_loss: 4.67  ShiftErr: 22.2 %  swAErr: 53.92 %  swBErr: 49.830000000000005 %

Epochs: 94  train_loss: 5.57  val_loss: 4.65  ShiftErr: 21.790000000000003 %  swAErr: 52.239999999999995 %  swBErr: 48.96 %

Epochs: 95  train_loss: 5.76  val_loss: 4.68  ShiftErr: 21.529999999999998 %  swAErr: 51.83 %  swBErr: 48.67 %

Epochs: 96  train_loss: 5.17  val_loss: 4.64  ShiftErr: 21.59 %  swAErr: 51.12 %  swBErr: 48.05 %

Epochs: 97  train_loss: 4.52  val_loss: 4.53  ShiftErr: 21.6 %  swAErr: 50.349999999999994 %  swBErr: 46.839999999999996 %

Epochs: 98  train_loss: 6.31  val_loss: 4.6  ShiftErr: 21.54 %  swAErr: 51.28 %  swBErr: 47.620000000000005 %

Epochs: 99  train_loss: 6.06  val_loss: 4.6  ShiftErr: 21.61 %  swAErr: 52.09 %  swBErr: 48.05 %

Epochs: 100  train_loss: 4.94  val_loss: 4.66  ShiftErr: 21.93 %  swAErr: 52.400000000000006 %  swBErr: 48.64 %

Finish
