Device: cuda
Epochs: 1  train_loss: 37.31  val_loss: 35.65  ShiftErr: 95.44 %  swAErr: 83.1 %  swBErr: 100.0 %
Epochs: 27  train_loss: 20.29  val_loss: 19.08  ShiftErr: 53.75 %  swAErr: 74.13 %  swBErr: 70.66 %

Epochs: 28  train_loss: 23.03  val_loss: 18.85  ShiftErr: 53.23 %  swAErr: 74.28 %  swBErr: 70.83 %

Epochs: 29  train_loss: 21.12  val_loss: 18.65  ShiftErr: 52.7 %  swAErr: 74.49 %  swBErr: 71.05 %

Epochs: 30  train_loss: 24.84  val_loss: 18.46  ShiftErr: 52.18000000000001 %  swAErr: 74.61 %  swBErr: 70.92 %

Epochs: 31  train_loss: 22.64  val_loss: 18.18  ShiftErr: 51.39 %  swAErr: 74.07000000000001 %  swBErr: 71.02000000000001 %

Epochs: 32  train_loss: 22.62  val_loss: 17.85  ShiftErr: 50.470000000000006 %  swAErr: 73.34 %  swBErr: 71.06 %

Epochs: 33  train_loss: 22.99  val_loss: 17.53  ShiftErr: 49.6 %  swAErr: 72.57000000000001 %  swBErr: 70.87 %

Epochs: 34  train_loss: 20.29  val_loss: 17.19  ShiftErr: 48.72 %  swAErr: 72.35000000000001 %  swBErr: 70.7 %

Epochs: 35  train_loss: 23.0  val_loss: 16.89  ShiftErr: 47.9 %  swAErr: 72.68 %  swBErr: 70.27 %

Epochs: 36  train_loss: 20.57  val_loss: 16.6  ShiftErr: 47.15 %  swAErr: 73.04 %  swBErr: 69.98 %

Epochs: 37  train_loss: 20.49  val_loss: 16.32  ShiftErr: 46.58 %  swAErr: 73.25 %  swBErr: 69.75 %

Epochs: 38  train_loss: 22.08  val_loss: 16.08  ShiftErr: 45.98 %  swAErr: 73.55000000000001 %  swBErr: 69.21000000000001 %

Epochs: 39  train_loss: 17.8  val_loss: 15.86  ShiftErr: 45.71 %  swAErr: 73.57000000000001 %  swBErr: 68.89 %

Epochs: 40  train_loss: 20.24  val_loss: 15.52  ShiftErr: 45.61 %  swAErr: 72.41 %  swBErr: 68.72 %

Epochs: 41  train_loss: 16.85  val_loss: 15.15  ShiftErr: 45.69 %  swAErr: 71.26 %  swBErr: 68.5 %

Epochs: 42  train_loss: 18.49  val_loss: 14.87  ShiftErr: 46.050000000000004 %  swAErr: 70.57 %  swBErr: 68.28999999999999 %

Epochs: 43  train_loss: 17.12  val_loss: 14.56  ShiftErr: 46.239999999999995 %  swAErr: 70.32000000000001 %  swBErr: 68.04 %

Epochs: 44  train_loss: 18.96  val_loss: 14.33  ShiftErr: 46.54 %  swAErr: 69.97 %  swBErr: 67.96 %

Epochs: 45  train_loss: 16.11  val_loss: 14.12  ShiftErr: 46.660000000000004 %  swAErr: 69.83 %  swBErr: 67.9 %

Epochs: 46  train_loss: 17.31  val_loss: 13.95  ShiftErr: 46.89 %  swAErr: 69.62 %  swBErr: 67.99 %

Epochs: 47  train_loss: 21.84  val_loss: 13.76  ShiftErr: 46.89 %  swAErr: 69.49 %  swBErr: 67.82000000000001 %

Epochs: 48  train_loss: 15.4  val_loss: 13.59  ShiftErr: 46.910000000000004 %  swAErr: 69.07 %  swBErr: 67.80000000000001 %

Epochs: 49  train_loss: 15.43  val_loss: 13.43  ShiftErr: 47.02 %  swAErr: 69.07 %  swBErr: 67.92 %

Epochs: 50  train_loss: 16.7  val_loss: 13.28  ShiftErr: 46.989999999999995 %  swAErr: 69.15 %  swBErr: 67.89 %

Epochs: 51  train_loss: 14.92  val_loss: 13.11  ShiftErr: 46.989999999999995 %  swAErr: 68.7 %  swBErr: 68.03 %

Epochs: 52  train_loss: 16.01  val_loss: 12.95  ShiftErr: 46.839999999999996 %  swAErr: 68.52000000000001 %  swBErr: 68.21000000000001 %

Epochs: 53  train_loss: 16.08  val_loss: 12.76  ShiftErr: 46.67 %  swAErr: 67.94 %  swBErr: 68.21000000000001 %

Epochs: 54  train_loss: 12.95  val_loss: 12.61  ShiftErr: 46.660000000000004 %  swAErr: 67.75 %  swBErr: 68.35 %

Epochs: 55  train_loss: 17.67  val_loss: 12.43  ShiftErr: 45.94 %  swAErr: 67.43 %  swBErr: 68.17 %

Epochs: 56  train_loss: 14.87  val_loss: 12.28  ShiftErr: 45.16 %  swAErr: 67.42 %  swBErr: 68.01 %

Epochs: 57  train_loss: 14.85  val_loss: 12.17  ShiftErr: 44.43 %  swAErr: 67.31 %  swBErr: 67.67999999999999 %

Epochs: 58  train_loss: 13.17  val_loss: 12.08  ShiftErr: 43.769999999999996 %  swAErr: 67.47999999999999 %  swBErr: 67.47999999999999 %

Epochs: 59  train_loss: 13.88  val_loss: 11.96  ShiftErr: 42.6 %  swAErr: 67.67999999999999 %  swBErr: 67.2 %

Epochs: 60  train_loss: 15.38  val_loss: 11.94  ShiftErr: 41.91 %  swAErr: 67.86 %  swBErr: 67.23 %

Epochs: 61  train_loss: 15.04  val_loss: 11.93  ShiftErr: 41.69 %  swAErr: 67.89 %  swBErr: 67.29 %

Epochs: 62  train_loss: 12.72  val_loss: 11.86  ShiftErr: 41.3 %  swAErr: 67.63 %  swBErr: 67.17 %

Epochs: 63  train_loss: 16.28  val_loss: 11.78  ShiftErr: 40.589999999999996 %  swAErr: 67.38 %  swBErr: 66.8 %

Epochs: 64  train_loss: 12.16  val_loss: 11.77  ShiftErr: 40.45 %  swAErr: 66.64 %  swBErr: 67.10000000000001 %

Epochs: 65  train_loss: 15.05  val_loss: 11.68  ShiftErr: 39.81 %  swAErr: 66.75999999999999 %  swBErr: 67.07 %

Epochs: 66  train_loss: 11.83  val_loss: 11.25  ShiftErr: 38.33 %  swAErr: 66.41 %  swBErr: 66.58 %

Epochs: 67  train_loss: 12.22  val_loss: 10.31  ShiftErr: 37.36 %  swAErr: 63.7 %  swBErr: 66.47 %

Epochs: 68  train_loss: 13.19  val_loss: 9.6  ShiftErr: 37.72 %  swAErr: 61.29 %  swBErr: 66.47999999999999 %

Epochs: 69  train_loss: 11.6  val_loss: 9.22  ShiftErr: 39.33 %  swAErr: 60.75000000000001 %  swBErr: 66.56 %

Epochs: 70  train_loss: 10.33  val_loss: 8.62  ShiftErr: 38.76 %  swAErr: 61.59 %  swBErr: 65.16 %

Epochs: 71  train_loss: 10.84  val_loss: 8.34  ShiftErr: 39.06 %  swAErr: 63.029999999999994 %  swBErr: 64.56 %

Epochs: 72  train_loss: 9.87  val_loss: 8.04  ShiftErr: 38.550000000000004 %  swAErr: 62.849999999999994 %  swBErr: 64.57000000000001 %

Epochs: 73  train_loss: 8.1  val_loss: 7.49  ShiftErr: 36.57 %  swAErr: 60.519999999999996 %  swBErr: 63.029999999999994 %

Epochs: 74  train_loss: 7.76  val_loss: 6.93  ShiftErr: 32.96 %  swAErr: 58.57 %  swBErr: 61.06 %

Epochs: 75  train_loss: 7.61  val_loss: 6.93  ShiftErr: 33.92 %  swAErr: 58.39 %  swBErr: 61.51 %

Epochs: 76  train_loss: 8.04  val_loss: 6.86  ShiftErr: 33.0 %  swAErr: 60.01 %  swBErr: 61.6 %

Epochs: 77  train_loss: 6.13  val_loss: 6.64  ShiftErr: 30.81 %  swAErr: 60.519999999999996 %  swBErr: 61.41 %

Epochs: 78  train_loss: 6.77  val_loss: 6.47  ShiftErr: 29.89 %  swAErr: 59.61 %  swBErr: 61.99 %

Epochs: 79  train_loss: 6.86  val_loss: 6.18  ShiftErr: 28.12 %  swAErr: 57.42 %  swBErr: 61.72 %

Epochs: 80  train_loss: 6.92  val_loss: 6.01  ShiftErr: 26.919999999999998 %  swAErr: 55.510000000000005 %  swBErr: 61.529999999999994 %

Epochs: 81  train_loss: 6.04  val_loss: 5.88  ShiftErr: 25.7 %  swAErr: 54.669999999999995 %  swBErr: 60.9 %

Epochs: 82  train_loss: 6.46  val_loss: 5.61  ShiftErr: 23.77 %  swAErr: 54.05 %  swBErr: 57.74 %

Epochs: 83  train_loss: 6.91  val_loss: 5.48  ShiftErr: 22.55 %  swAErr: 53.94 %  swBErr: 56.54 %

Epochs: 84  train_loss: 7.8  val_loss: 5.5  ShiftErr: 22.6 %  swAErr: 54.7 %  swBErr: 56.18 %

Epochs: 85  train_loss: 6.01  val_loss: 5.46  ShiftErr: 22.68 %  swAErr: 54.53 %  swBErr: 55.93 %

Epochs: 86  train_loss: 5.96  val_loss: 5.42  ShiftErr: 22.189999999999998 %  swAErr: 54.43 %  swBErr: 56.47 %

Epochs: 87  train_loss: 6.08  val_loss: 5.42  ShiftErr: 21.88 %  swAErr: 54.449999999999996 %  swBErr: 56.21000000000001 %

Epochs: 88  train_loss: 6.05  val_loss: 5.38  ShiftErr: 21.709999999999997 %  swAErr: 52.71 %  swBErr: 56.05 %

Epochs: 89  train_loss: 5.44  val_loss: 5.36  ShiftErr: 21.7 %  swAErr: 51.85999999999999 %  swBErr: 55.95 %

Epochs: 90  train_loss: 6.6  val_loss: 5.34  ShiftErr: 22.03 %  swAErr: 52.14 %  swBErr: 55.78999999999999 %

Epochs: 91  train_loss: 5.65  val_loss: 5.37  ShiftErr: 21.95 %  swAErr: 52.88 %  swBErr: 56.120000000000005 %

Epochs: 92  train_loss: 5.37  val_loss: 5.41  ShiftErr: 21.67 %  swAErr: 53.459999999999994 %  swBErr: 56.879999999999995 %

Epochs: 93  train_loss: 5.74  val_loss: 5.43  ShiftErr: 21.47 %  swAErr: 53.64 %  swBErr: 56.79 %

Epochs: 94  train_loss: 6.2  val_loss: 5.48  ShiftErr: 21.2 %  swAErr: 54.37 %  swBErr: 57.76 %

Epochs: 95  train_loss: 5.78  val_loss: 5.41  ShiftErr: 21.029999999999998 %  swAErr: 53.410000000000004 %  swBErr: 57.31 %

Epochs: 96  train_loss: 6.39  val_loss: 5.36  ShiftErr: 20.94 %  swAErr: 52.480000000000004 %  swBErr: 56.46 %

Epochs: 97  train_loss: 6.28  val_loss: 5.32  ShiftErr: 20.62 %  swAErr: 52.52 %  swBErr: 56.57 %

Epochs: 98  train_loss: 6.3  val_loss: 5.33  ShiftErr: 20.419999999999998 %  swAErr: 52.87 %  swBErr: 57.099999999999994 %

Epochs: 99  train_loss: 5.68  val_loss: 5.36  ShiftErr: 20.330000000000002 %  swAErr: 52.64 %  swBErr: 56.47 %

Epochs: 100  train_loss: 6.14  val_loss: 5.35  ShiftErr: 20.23 %  swAErr: 52.38 %  swBErr: 56.489999999999995 %

Finish
